MAPNAME,DESCR,MAINROCK,SIMPLENAME,KEYGRPNAME,TEXTCODE,FlowchartGroup
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
Whangai Formation (Mangakahia Complex) in Northland Allochthon,Fissile  dark grey to white weathering siliceous mudstone  blue grey calcareous mudstone  and minor micritic limestone and chert. Minor black carbonaceous shale (Waipawa Black Shale).,mudstone,Allochthonous rocks,Northland Allochthon,Kkw,Group 15
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Micritic coccolith foraminiferal muddy limestone  commonly with redeposited beds of glauconitic sandstone.,micrite,Allochthonous rocks,Northland Allochthon,Omm,Group 15
OIS1 (Holocene) active dune deposits of Karioitahi Group,Loose sand in mobile dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,Group 09
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Early Pleistocene parabolic dunes,Weakly cemented and partly consolidated sand in parabolic dunes. Interdune lake and swamp deposits.,sand,Early Pleistocene windblown deposits,Early Pleistocene sediments,eQd,Group 09
Kerikeri Volcanic Group Pleistocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava and volcanic plugs.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvb,Group 17
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS6+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated mud  sand  gravel and peat or lignite of alluvial  colluvial  lacustrine  swamp and estuarine origins.,mud,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly indurated metre bedded quartzose  micaceous sandstone  with minor conglomerate  and interbeds of blue grey mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
Motukaraka Sandstone (Mangakahia Complex) in Northland Allochthon,Moderately indurated  centimetre  to decimetre bedded mid to dark grey fine grained sandstone and blue grey mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkm,Group 15
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Sand  silt mud and clay with local gravel and peat beds.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 5
OIS1 (Holocene) active dune deposits of Karioitahi Group,Loose sand in mobile dunes.,sand,Holocene windblown deposits,Holocene sediments,Q1d,Group 09
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly indurated metre bedded quartzose  micaceous sandstone  with minor conglomerate  and interbeds of blue grey mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Undifferentiated Tangihua Complex basalt in Northland Allochthon,Basaltic pillow lava and pillow breccia  with sills and dikes of basalt and dolerite.,basalt,Allochthonous rocks,Northland Allochthon,Ktb,Group 15
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Micritic coccolith foraminiferal muddy limestone  commonly with redeposited beds of glauconitic sandstone.,micrite,Allochthonous rocks,Northland Allochthon,Omm,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS6+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated mud  sand  gravel and peat or lignite of alluvial  colluvial  lacustrine  swamp and estuarine origins.,mud,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Kerikeri Volcanic Group Late Miocene basalt of Kaikohe   Bay of Islands Volcanic Field,Basalt lava  volcanic plugs and minor tuff.,basalt,Neogene igneous rocks,Kerikeri Volcanic Group,^vb,Group 17
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly indurated metre bedded quartzose  micaceous sandstone  with minor conglomerate  and interbeds of blue grey mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group melange (Waipapa Composite Terrane),Melange zones.,melange,Basement (Eastern Province) melange,Waipapa Composite Terrane,TJm,Group 15
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS4 OIS1 (Late Pleistocene to Holocene) estuary  river and swamp deposits,Unconsolidated to poorly consolidated sand  peat  mud and shell deposits (estuarine  lacustrine  swamp  alluvial and colluvial).,sand,Late Pleistocene   Holocene estuary  river and swamp deposits,Late Pleistocene   Holocene sediments,Q1a,Group 1
OIS1 (Holocene) river deposits of Tauranga Group,Unconsolidated to poorly consolidated mud  sand  gravel and peat deposits of alluvial  colluvial and lacustrine origins.,mud,Holocene river deposits,Holocene sediments,Q1a,Group 8
OIS5+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated sand  mud and peat of estuarine  swamp  alluvial and colluvial origins.,sand,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
OIS1 (Holocene) ocean beach deposits of Karioitahi Group,Loose sand  gravel and shell underlying beaches and forming beach ridges and shell banks.,sand,Holocene shoreline deposits,Holocene sediments,Q1b,Group 09
OIS6+ (Early Pleistocene to Middle Pleistocene) estuary  river and swamp deposits,Partly consolidated mud  sand  gravel and peat or lignite of alluvial  colluvial  lacustrine  swamp and estuarine origins.,mud,Early Pleistocene   Middle Pleistocene undifferentiated estuary  river and swamp deposits,Early Pleistocene   Middle Pleistocene sediments,eQa,Group 1
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed basalt  chert and siliceous argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,Group 15
