mu,de,mr,sn,KEYGRPNAME,uc,finalCategory
Whangai Formation (Mangakahia Complex) in Northland Allochthon,Mudstone.,mudstone,Allochthonous rocks,Northland Allochthon,Kkw,19_undifSed
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly to moderately indurated  alternating thin  to thick bedded  quartzofeldspathic sandstone and mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,19_undifSed
Melange of Northland Allochthon,Melange  comprising a matrix of sheared mudstone with included tectonic blocks of Northland Allochthon  Te Kuiti Group and Waitemata Group lithologies.,melange,Allochthonous rocks,Northland Allochthon,KOm,99_unknown
Punakitere Sandstone (Mangakahia Complex) in Northland Allochthon,Weakly to moderately indurated  alternating thin  to thick bedded  quartzofeldspathic sandstone and mudstone.,sandstone,Allochthonous rocks,Northland Allochthon,Kkp,19_undifSed
Melange of Northland Allochthon,Melange  comprising a matrix of sheared mudstone with included tectonic blocks of Northland Allochthon  Te Kuiti Group and Waitemata Group lithologies.,melange,Allochthonous rocks,Northland Allochthon,KOm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Okaroro Formation of Hukatere Subgroup (Waitakere Group),Proximal  marine volcaniclastic sandstone and breccia.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtr,16_volcanic
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Timber Bay Formation of Warkworth Subgroup (Waitemata Group),Thin bedded mudstone  sandy siltstone and rippled muddy fine sandstone  with minor graded  medium to fine sandstone.,mudstone,Neogene sedimentary rocks,Waitemata Group,Mwb,19_undifSed
Timber Bay Formation of Warkworth Subgroup (Waitemata Group),Thin bedded mudstone  sandy siltstone and rippled muddy fine sandstone  with minor graded  medium to fine sandstone.,mudstone,Neogene sedimentary rocks,Waitemata Group,Mwb,19_undifSed
Timber Bay Formation of Warkworth Subgroup (Waitemata Group),Thin bedded mudstone  sandy siltstone and rippled muddy fine sandstone  with minor graded  medium to fine sandstone.,mudstone,Neogene sedimentary rocks,Waitemata Group,Mwb,19_undifSed
Timber Bay Formation of Warkworth Subgroup (Waitemata Group) in Northland Allochthon,Thin bedded mudstone  sandy siltstone and rippled muddy fine grained sandstone  with minor graded  medium grained to fine grained sandstone.,mudstone,Allochthonous rocks,Northland Allochthon,Mwb,19_undifSed
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  muddy limestone  commonly with glauconitic sandstone beds.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  coccolith foraminiferal  muddy limestone  commonly with thin glauconitic sandstone beds  commonly closely shattered. Rare crystalline limestone.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Mahurangi Limestone (Motatau Complex) in Northland Allochthon,Blue grey to white  micritic  coccolith foraminiferal  muddy limestone  commonly with thin glauconitic sandstone beds  commonly closely shattered. Rare crystalline limestone.,limestone,Allochthonous rocks,Northland Allochthon,Omm,99_unknown
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Lone Kauri Formation of Manukau Subgroup (Waitakere Group),Andesite flows and pyroclastics  plugs  diatremes  clastic dikes  shallow intrusives and crater fills  with minor flow banded dacite.,andesite,Neogene igneous rocks,Waitakere Group,Mtl,17_igneous
Lone Kauri Formation of Manukau Subgroup (Waitakere Group),Andesite flows and pyroclastics  plugs  diatremes  clastic dikes  shallow intrusives and crater fills  with minor flow banded dacite.,andesite,Neogene igneous rocks,Waitakere Group,Mtl,17_igneous
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Cornwallis Formation of Warkworth Subgroup (Waitemata Group),Thick bedded  graded  pebbly and gritty volcanic sandstone and thin bedded fine sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitemata Group,Mwc,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Piha Formation of Manukau Subgroup (Waitakere Group),Stratified  submarine andesitic breccio conglomerate with minor grit  sandstone and siltstone.,volcanic conglomerate,Neogene sedimentary rocks,Waitakere Group,Mtp,16_volcanic
Lone Kauri Formation of Manukau Subgroup (Waitakere Group),Andesite flows and pyroclastics  plugs  diatremes  clastic dikes  shallow intrusives and crater fills  with minor flow banded dacite.,andesite,Neogene igneous rocks,Waitakere Group,Mtl,17_igneous
East Coast Bays Formation of Warkworth Subgroup (Waitemata Group),Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits.,turbidite,Neogene sedimentary rocks,Waitemata Group,Mwe,19_undifSed
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Cornwallis Formation of Warkworth Subgroup (Waitemata Group),Thick bedded  graded  pebbly and gritty volcanic sandstone and thin bedded fine sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitemata Group,Mwc,16_volcanic
Cornwallis Formation of Warkworth Subgroup (Waitemata Group),Thick bedded  graded  pebbly and gritty volcanic sandstone and thin bedded fine sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitemata Group,Mwc,16_volcanic
Cornwallis Formation of Warkworth Subgroup (Waitemata Group),Thick bedded  graded  pebbly and gritty volcanic sandstone and thin bedded fine sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitemata Group,Mwc,16_volcanic
Nihotupu Formation of Manukau Subgroup (Waitakere Group),Submarine volcaniclastic grit  sandstone and siltstone.,volcanic sandstone,Neogene sedimentary rocks,Waitakere Group,Mtn,16_volcanic
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
East Coast Bays Formation of Warkworth Subgroup (Waitemata Group),Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits.,turbidite,Neogene sedimentary rocks,Waitemata Group,Mwe,19_undifSed
East Coast Bays Formation of Warkworth Subgroup (Waitemata Group),Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits.,turbidite,Neogene sedimentary rocks,Waitemata Group,Mwe,19_undifSed
East Coast Bays Formation of Warkworth Subgroup (Waitemata Group),Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits.,turbidite,Neogene sedimentary rocks,Waitemata Group,Mwe,19_undifSed
East Coast Bays Formation of Warkworth Subgroup (Waitemata Group),Alternating sandstone and mudstone with variable volcanic content and interbedded volcaniclastic grits.,turbidite,Neogene sedimentary rocks,Waitemata Group,Mwe,19_undifSed
Waipapa Group sandstone and siltstone (Waipapa Composite Terrane),Massive to thin bedded  lithic volcaniclastic metasandstone and argillite  with tectonically enclosed spilite  chert and red and green argillite.,greywacke,Basement (Eastern Province) sedimentary rocks,Waipapa Composite Terrane,TJw,19_undifSed
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,19_undifSed
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
Awhitu Group dunes,Moderately to poorly consolidated  cross bedded  plane parallel and ripple laminated sandstone  with paleosols  lignite and carbonaceous mudstone. Local conglomerate and rhyolitic tephra.,sandstone,Neogene sedimentary rocks,Awhitu Group,^ad,09_dune
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS5+ OIS2 (Middle Pleistocene to Late Pleistocene) river and hill slope deposits,Predominantly pumiceous sand  silt  mud and clay  with interbedded gravel and peat.,mud,Middle Pleistocene   Late Pleistocene river and hill slope deposits,Middle Pleistocene   Late Pleistocene sediments,lQa,05_alluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
Pliocene to Holocene undifferentiated Takaanini Formation,Late Pliocene to Middle Pleistocene pumiceous river deposits,mudstone,Neogene sedimentary rocks,Late Pliocene to Middle Pleistocene sediments,^up,19_undifSed
OIS1 (Holocene) river deposits of Takaanini Formation,Variably sorted non marine gravel  sand  and mud deposits in fluvial systems.,mud,Holocene river deposits,Holocene sediments,Q1a,03_fluvial
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
Undifferentiated Kerikeri Volcanic Group basalt lava of South Auckland Volcanic Field,Fine grained and coarse grained  porphyritic  olivine basalt  basanite and hawaiite lava flows.,basalt,Early Pleistocene   Late Pleistocene igneous rocks,Kerikeri Volcanic Group,Qvs,17_igneous
